@relation movies
@attribute 'MovieId' numeric
@attribute 'Title' string
@attribute 'IsAction' { 0, 1}
@attribute 'IsAdventure' { 0, 1}
@attribute 'IsAnimation' { 0, 1}
@attribute 'IsBiography' { 0, 1}
@attribute 'IsComedy' { 0, 1}
@attribute 'IsCrime' { 0, 1}
@attribute 'IsDrama' { 0, 1}
@attribute 'IsRomance' { 0, 1}
@attribute 'IsFantasy' { 0, 1}
@attribute 'IsHorror' { 0, 1}
@attribute 'IsMistery' { 0, 1}
@attribute 'IsHistory' { 0, 1}
@attribute 'IsFamily' { 0, 1}
@attribute 'IsSport' { 0, 1}
@attribute 'IsWar' { 0, 1}
@attribute 'IsWestern' { 0, 1}
@attribute 'IsSciFi' { 0, 1}
@attribute 'IsThriller' { 0, 1}
@attribute 'Year' numeric
@attribute 'Rating' real
@attribute 'Votes' numeric
@attribute 'CriticScore' numeric
@data
119',10 Cloverfield Lane',0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016,7.2,192968,76
120',Finding Dory',0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7.4,157026,77
121',Miss Peregrine's Home for Peculiar Children',0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,6.7,101058,57
122',Divergent',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,6.7,362093,48
123',Mike and Dave Need Wedding Dates',0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,6,53183,51
124',Boyka: Undisputed IV',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7.4,10428,
125',The Dark Knight Rises',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,8.5,1222645,78
126',The Jungle Book',0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,7.5,198243,77
127',Transformers: Age of Extinction',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,5.7,255483,32
128',Nerve',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.6,69651,58
129',Mamma Mia!',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2008,6.4,153481,51
130',The Revenant',0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,8,499424,76
131',Fences',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.3,50953,79
132',Into the Woods',0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,6,109756,69
133',The Shallows',0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2016,6.4,78328,59
134',Whiplash',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,8.5,477276,88
135',Furious 6',1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,7.1,318051,61
136',The Place Beyond the Pines',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2012,7.3,200090,68
137',No Country for Old Men',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2007,8.1,660286,91
138',The Great Gatsby',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2013,7.3,386102,55
139',Shutter Island',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,8.1,855604,63
